Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-14210900003,09/04/2018,4617,LICKETY LIQUOR,2501 HUBBELL AVE,DES MOINES,50317,POINT (-93.570489 41.607817),77,POLK,1011400,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LBL,12,750,15.57,23.36,4,93.44,3,0.79
INV-19229700001,05/08/2019,3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,POTTAWATTAMIE,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48122,HENNESSY XO,12,750,99.99,149.99,1,149.99,0.75,0.19
INV-19459200063,05/20/2019,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1062400,SPICED RUM,260,DIAGEO AMERICAS,43285,CAPTAIN MORGAN ORIGINAL SPICED RUM PET,12,750,9.06,13.59,24,326.16,18,4.75
INV-19177900022,05/06/2019,4162,FAREWAY STORES #963 / CEDAR RAPIDS,4220  16TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.726726 41.963791),57,LINN,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23828,FIVE STAR,6,1750,7.62,11.43,6,68.58,10.5,2.77
INV-18278900013,03/21/2019,3670,WAL-MART 2827 / CORALVILLE,2801 COMMERCE DR,CORALVILLE,52241,POINT (-91.610774 41.695806),52,JOHNSON,1031100,AMERICAN VODKAS,255,INFINIUM SPIRITS,37888,SEAGRAMS EXTRA SMOOTH VODKA,6,1750,10,15,6,90,10.5,2.77
INV-18078000052,03/12/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34014,ABSOLUT APEACH,12,750,11.49,17.24,4,68.96,3,0.79
INV-18331900020,03/25/2019,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,POLK,1032100,IMPORTED VODKAS,35,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.5,33.75,60,2025,60,15.85
INV-18163500016,03/15/2019,2178,DOUBLE D LIQUOR STORE,618 ROSSVILLE ROAD,WAUKON,52172,POINT (-91.473634 43.262114),3,ALLAMAKEE,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.17,10.76,18,193.68,31.5,8.32
INV-18387000031,03/27/2019,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1032100,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.25,12.38,12,148.56,9,2.37
INV-18294000019,03/22/2019,5325,HOMETOWN FOODS / HUBBARD,210 E. MAPLE ST,HUBBARD,50122,POINT (-93.298266 42.305556),42,HARDIN,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,1000,4.05,6.08,12,72.96,12,3.17
INV-18086200053,03/12/2019,2587,HY-VEE FOOD STORE / JOHNSTON,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,POLK,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37356,PHILLIPS VODKA,12,750,3.57,5.36,12,64.32,9,2.37
INV-18132400001,03/14/2019,4638,GD XPRESS / DAVENPORT,4607 N PINE ST,DAVENPORT,52804,,82,SCOTT,1032100,IMPORTED VODKAS,255,INFINIUM SPIRITS,34122,CRYSTAL HEAD VODKA,6,750,23.32,34.98,2,69.96,1.5,0.39
INV-18410300044,03/28/2019,2567,HY-VEE DRUGSTORE / DAVENPORT,2200 WEST KIMBERLY,DAVENPORT,52806,POINT (-90.608201 41.560663),82,SCOTT,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19,28.5,12,342,21,5.54
INV-18069700051,03/12/2019,5527,LIQUOR DOWNTOWN,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,JOHNSON,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,11.49,17.24,6,103.44,4.5,1.18
INV-18305800018,03/22/2019,3987,WINE AND SPIRITS SHOPPE OF,111 S PHILLIPS ST,ALGONA,50511,POINT (-94.226874 43.068382),55,KOSSUTH,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35918,FIVE O'CLOCK VODKA,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-18281300037,03/21/2019,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1031200,AMERICAN FLAVORED VODKA,380,PHILLIPS BEVERAGE,39770,UV CAKE MINI,12,500,4.4,6.6,3,19.8,1.5,0.39
INV-17999200011,03/07/2019,4371,KUM & GO #50 / WEST DES MOINES,745 S 51ST ST,WEST DES MOINES,50265,POINT (-93.77275 41.55871),77,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.06,13.59,8,108.72,6,1.58
INV-18326100007,03/25/2019,4898,BURLINGTON SHELL,"130, S ROOSEVELT AVE",BURLINGTON,52601,POINT (-91.140986 40.808239),29,DES MOINES,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35914,FIVE O'CLOCK VODKA,24,375,1.93,2.9,24,69.6,9,2.37
INV-17905900047,03/04/2019,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1032200,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,36576,SVEDKA BLUE RASPBERRY,12,750,8.25,12.38,12,148.56,9,2.37
INV-18041000031,03/11/2019,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,POINT (-92.322988 42.47658),7,BLACK HAWK,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37993,SMIRNOFF 80PRF,48,200,2.54,3.81,48,182.88,9.6,2.53
INV-18319000064,03/25/2019,2538,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1031200,AMERICAN FLAVORED VODKA,300,MCCORMICK DISTILLING CO.,39671,360 LIME,12,750,7,10.5,2,21,1.5,0.39
INV-18072100162,03/12/2019,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,12,60.12,9,2.37
INV-21228600173,08/14/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1081100,COFFEE LIQUEURS,421,SAZERAC COMPANY  INC,67586,KAPALI COFFEE LIQUEUR,12,750,5.72,8.58,4,26.36,3,0.79
INV-22328200069,10/04/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1031200,AMERICAN FLAVORED VODKA,259,HEAVEN HILL BRANDS,41299,BURNETTS CHERRY,12,750,4.5,6.75,3,20.16,2.25,0.59
INV-23421000013,11/23/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28890,TANQUERAY RANGPUR GIN,12,750,13.01,19.52,12,234.24,9,2.37
